simulation_id,team,w,d,l,gf,ga,gd,points,position
1,Sheffield Weds,28,13,5,85,31,54,97,1
1,Plymouth Argyle,28,9,9,84,53,31,93,2
1,Derby County,27,10,9,80,35,45,91,3
1,Ipswich Town,25,14,7,85,42,43,89,4
1,Wycombe,26,6,14,67,42,25,84,5
1,Barnsley,24,8,14,69,44,25,80,6
1,Bolton,22,13,11,64,35,29,79,7
1,P'borough Utd,21,8,17,71,55,16,71,8
1,Portsmouth,18,15,13,61,51,10,69,9
1,Shrewsbury,20,9,17,50,45,5,69,10
1,Charlton Ath,18,14,14,72,56,16,68,11
1,Lincoln City,15,21,10,45,42,3,66,12
1,Port Vale,17,9,20,53,64,-11,60,13
1,Fleetwood Town,14,16,16,49,47,2,58,14
1,Bristol Rovers,16,10,20,68,78,-10,58,15
1,Exeter City,14,14,18,51,59,-8,56,16
1,Cheltenham,14,7,25,36,60,-24,49,17
1,Oxford United,11,13,22,49,66,-17,46,18
1,Morecambe,11,11,24,46,78,-32,44,19
1,MK Dons,12,7,27,44,78,-34,43,20
1,Burton Albion,10,12,24,51,87,-36,42,21
1,Acc'ton Stanley,9,13,24,37,73,-36,40,22
1,Cambridge Utd,10,9,27,41,78,-37,39,23
1,FG Rovers,6,11,29,37,96,-59,29,24
2,Sheffield Weds,32,9,5,86,28,58,105,1
2,Plymouth Argyle,30,10,6,95,43,52,100,2
2,Ipswich Town,25,15,6,92,49,43,90,3
2,Barnsley,27,9,10,69,38,31,90,4
2,Wycombe,25,8,13,74,45,29,83,5
2,Bolton,21,15,10,63,37,26,78,6
2,Derby County,22,10,14,76,47,29,76,7
2,Portsmouth,20,13,13,75,57,18,73,8
2,P'borough Utd,22,6,18,74,62,12,72,9
2,Shrewsbury,20,11,15,60,52,8,71,10
2,Charlton Ath,17,14,15,67,61,6,65,11
2,Fleetwood Town,14,16,16,50,47,3,58,12
2,Lincoln City,13,19,14,45,50,-5,58,13
2,Exeter City,15,10,21,59,65,-6,55,14
2,Port Vale,15,10,21,46,67,-21,55,15
2,Bristol Rovers,13,14,19,62,81,-19,53,16
2,Oxford United,12,13,21,42,57,-15,49,17
2,Burton Albion,12,12,22,55,88,-33,48,18
2,Cheltenham,12,10,24,35,60,-25,46,19
2,Cambridge Utd,11,9,26,35,70,-35,42,20
2,Acc'ton Stanley,9,14,23,37,72,-35,41,21
2,Morecambe,8,16,22,42,73,-31,40,22
2,MK Dons,9,10,27,40,74,-34,37,23
2,FG Rovers,6,11,29,31,87,-56,29,24
3,Sheffield Weds,29,11,6,82,30,52,98,1
3,Plymouth Argyle,28,9,9,84,51,33,93,2
3,Derby County,25,11,10,72,39,33,86,3
3,Bolton,24,11,11,68,34,34,83,4
3,Ipswich Town,23,14,9,78,48,30,83,5
3,Barnsley,24,9,13,66,44,22,81,6
3,Wycombe,22,9,15,58,46,12,75,7
3,P'borough Utd,23,4,19,76,57,19,73,8
3,Portsmouth,19,16,11,72,54,18,73,9
3,Shrewsbury,21,7,18,57,54,3,70,10
3,Charlton Ath,17,14,15,63,57,6,65,11
3,Lincoln City,15,20,11,47,44,3,65,12
3,Port Vale,17,8,21,43,56,-13,59,13
3,Fleetwood Town,14,16,16,53,50,3,58,14
3,Oxford United,14,12,20,47,60,-13,54,15
3,Bristol Rovers,14,11,21,66,81,-15,53,16
3,Exeter City,13,13,20,59,68,-9,52,17
3,Burton Albion,13,10,23,55,79,-24,49,18
3,MK Dons,12,11,23,44,63,-19,47,19
3,Cheltenham,13,8,25,38,61,-23,47,20
3,Acc'ton Stanley,10,13,23,36,69,-33,43,21
3,Morecambe,9,14,23,45,72,-27,41,22
3,Cambridge Utd,11,7,28,39,84,-45,40,23
3,FG Rovers,7,12,27,41,88,-47,33,24
