match_id,team,xg_for,xg_against,onclick,match,tooltip_lab
3915828,Exeter City,2.04,0.31,"window.open(""https://www.fotmob.com//match/3915828/matchfacts/exeter-city-vs-port-vale"")",Exeter City vs Port Vale,"<b>Match</b>: Exeter City vs Port Vale
<b>xG For</b>: 2.04
<b>xG Against</b>: 0.31"
3915828,Port Vale,0.31,2.04,"window.open(""https://www.fotmob.com//match/3915828/matchfacts/exeter-city-vs-port-vale"")",Exeter City vs Port Vale,"<b>Match</b>: Exeter City vs Port Vale
<b>xG For</b>: 0.31
<b>xG Against</b>: 2.04"
3915829,Fleetwood Town,1.15,1.62,"window.open(""https://www.fotmob.com//match/3915829/matchfacts/fleetwood-town-vs-plymouth-argyle"")",Fleetwood Town vs Plymouth Argyle,"<b>Match</b>: Fleetwood Town vs Plymouth Argyle
<b>xG For</b>: 1.15
<b>xG Against</b>: 1.62"
3915829,Plymouth Argyle,1.62,1.15,"window.open(""https://www.fotmob.com//match/3915829/matchfacts/fleetwood-town-vs-plymouth-argyle"")",Fleetwood Town vs Plymouth Argyle,"<b>Match</b>: Fleetwood Town vs Plymouth Argyle
<b>xG For</b>: 1.62
<b>xG Against</b>: 1.15"
3915830,Forest Green Rovers,1.55,0.95,"window.open(""https://www.fotmob.com//match/3915830/matchfacts/forest-green-rovers-vs-ipswich-town"")",Forest Green Rovers vs Ipswich Town,"<b>Match</b>: Forest Green Rovers vs Ipswich Town
<b>xG For</b>: 1.55
<b>xG Against</b>: 0.95"
3915830,Ipswich Town,0.95,1.55,"window.open(""https://www.fotmob.com//match/3915830/matchfacts/forest-green-rovers-vs-ipswich-town"")",Forest Green Rovers vs Ipswich Town,"<b>Match</b>: Forest Green Rovers vs Ipswich Town
<b>xG For</b>: 0.95
<b>xG Against</b>: 1.55"
3915831,Milton Keynes Dons,0.5,1.54,"window.open(""https://www.fotmob.com//match/3915831/matchfacts/milton-keynes-dons-vs-sheffield-wednesday"")",Milton Keynes Dons vs Sheffield Wednesday,"<b>Match</b>: Milton Keynes Dons vs Sheffield Wednesday
<b>xG For</b>: 0.5
<b>xG Against</b>: 1.54"
3915831,Sheffield Wednesday,1.54,0.5,"window.open(""https://www.fotmob.com//match/3915831/matchfacts/milton-keynes-dons-vs-sheffield-wednesday"")",Milton Keynes Dons vs Sheffield Wednesday,"<b>Match</b>: Milton Keynes Dons vs Sheffield Wednesday
<b>xG For</b>: 1.54
<b>xG Against</b>: 0.5"
3915832,Oxford United,0.74,0.5,"window.open(""https://www.fotmob.com//match/3915832/matchfacts/oxford-united-vs-cambridge-united"")",Oxford United vs Cambridge United,"<b>Match</b>: Oxford United vs Cambridge United
<b>xG For</b>: 0.74
<b>xG Against</b>: 0.5"
3915832,Cambridge United,0.5,0.74,"window.open(""https://www.fotmob.com//match/3915832/matchfacts/oxford-united-vs-cambridge-united"")",Oxford United vs Cambridge United,"<b>Match</b>: Oxford United vs Cambridge United
<b>xG For</b>: 0.5
<b>xG Against</b>: 0.74"
3915833,Peterborough United,1.01,0.59,"window.open(""https://www.fotmob.com//match/3915833/matchfacts/peterborough-united-vs-morecambe"")",Peterborough United vs Morecambe,"<b>Match</b>: Peterborough United vs Morecambe
<b>xG For</b>: 1.01
<b>xG Against</b>: 0.59"
3915833,Morecambe,0.59,1.01,"window.open(""https://www.fotmob.com//match/3915833/matchfacts/peterborough-united-vs-morecambe"")",Peterborough United vs Morecambe,"<b>Match</b>: Peterborough United vs Morecambe
<b>xG For</b>: 0.59
<b>xG Against</b>: 1.01"
3915834,Portsmouth,1.29,0.27,"window.open(""https://www.fotmob.com//match/3915834/matchfacts/portsmouth-vs-lincoln-city"")",Portsmouth vs Lincoln City,"<b>Match</b>: Portsmouth vs Lincoln City
<b>xG For</b>: 1.29
<b>xG Against</b>: 0.27"
3915834,Lincoln City,0.27,1.29,"window.open(""https://www.fotmob.com//match/3915834/matchfacts/portsmouth-vs-lincoln-city"")",Portsmouth vs Lincoln City,"<b>Match</b>: Portsmouth vs Lincoln City
<b>xG For</b>: 0.27
<b>xG Against</b>: 1.29"
3915835,Shrewsbury Town,0.85,0.36,"window.open(""https://www.fotmob.com//match/3915835/matchfacts/shrewsbury-town-vs-accrington-stanley"")",Shrewsbury Town vs Accrington Stanley,"<b>Match</b>: Shrewsbury Town vs Accrington Stanley
<b>xG For</b>: 0.85
<b>xG Against</b>: 0.36"
